!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      2500.00    4.00    0.00    0.00       -36.977     -37.527     -37.900       0.550       0.924       0.374
      2500.00    4.50    0.00    0.00       -36.981     -37.550     -37.901       0.569       0.920       0.351
      2500.00    5.00    0.00    0.00       -36.997     -37.588     -37.900       0.591       0.903       0.312
      2500.00    5.50    0.00    0.00       -36.998     -37.619     -37.884       0.621       0.886       0.265
      2600.00    2.50    0.00    0.00       -37.196     -37.715     -38.006       0.519       0.810       0.291
      2600.00    3.00    0.00    0.00       -37.160     -37.661     -38.008       0.500       0.848       0.348
      2600.00    3.50    0.00    0.00       -37.132     -37.657     -38.020       0.524       0.887       0.363
      2600.00    4.00    0.00    0.00       -37.124     -37.669     -38.026       0.544       0.901       0.357
      2600.00    4.50    0.00    0.00       -37.159     -37.693     -38.031       0.534       0.871       0.338
      2600.00    5.00    0.00    0.00       -37.134     -37.721     -38.031       0.587       0.897       0.310
      2600.00    5.50    0.00    0.00       -37.139     -37.752     -38.023       0.613       0.884       0.271
      2700.00    2.50    0.00    0.00       -37.330     -37.913     -38.151       0.583       0.821       0.238
      2700.00    3.00    0.00    0.00       -37.318     -37.841     -38.148       0.523       0.831       0.307
      2700.00    3.50    0.00    0.00       -37.278     -37.803     -38.140       0.524       0.861       0.337
      2700.00    4.00    0.00    0.00       -37.264     -37.806     -38.144       0.542       0.880       0.338
      2700.00    4.50    0.00    0.00       -37.303     -37.867     -38.191       0.564       0.887       0.323
      2700.00    5.00    0.00    0.00       -37.262     -37.846     -38.151       0.584       0.889       0.305
      2700.00    5.50    0.00    0.00       -37.329     -37.883     -38.154       0.554       0.825       0.270
      2800.00    2.50    0.00    0.00       -37.446     -38.100     -38.303       0.655       0.857       0.202
      2800.00    3.00    0.00    0.00       -37.445     -38.004     -38.271       0.559       0.827       0.267
      2800.00    3.50    0.00    0.00       -37.416     -37.953     -38.260       0.537       0.844       0.308
      2800.00    4.00    0.00    0.00       -37.399     -37.944     -38.261       0.545       0.862       0.317
      2800.00    4.50    0.00    0.00       -37.406     -37.951     -38.264       0.545       0.858       0.313
      2800.00    5.00    0.00    0.00       -37.389     -37.974     -38.278       0.584       0.889       0.305
      2800.00    5.50    0.00    0.00       -37.399     -38.002     -38.274       0.603       0.875       0.272
      2900.00    2.50    0.00    0.00       -37.544     -38.279     -38.453       0.735       0.909       0.174
      2900.00    3.00    0.00    0.00       -37.562     -38.174     -38.397       0.612       0.836       0.223
      2900.00    3.50    0.00    0.00       -37.538     -38.092     -38.365       0.554       0.827       0.272
