!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      2250.00    2.50    0.00    0.00       -35.627     -35.691     -35.680       0.064       0.054      -0.010
      2250.00    3.00    0.00    0.00       -35.648     -35.733     -35.717       0.085       0.069      -0.016
      2250.00    3.50    0.00    0.00       -35.640     -35.750     -35.729       0.110       0.089      -0.021
      2250.00    4.00    0.00    0.00       -35.667     -35.786     -35.731       0.118       0.064      -0.054
      2250.00    4.50    0.00    0.00       -35.657     -35.805     -35.715       0.148       0.058      -0.090
      2250.00    5.00    0.00    0.00       -35.607     -35.832     -35.713       0.226       0.107      -0.119
      2300.00    2.50    0.00    0.00       -35.763     -35.783     -35.747       0.020      -0.017      -0.037
      2300.00    3.00    0.00    0.00       -35.749     -35.802     -35.767       0.053       0.018      -0.035
      2300.00    3.50    0.00    0.00       -35.712     -35.800     -35.768       0.088       0.056      -0.032
      2300.00    4.00    0.00    0.00       -35.724     -35.836     -35.780       0.112       0.056      -0.056
      2300.00    4.50    0.00    0.00       -35.853     -35.914     -35.811       0.061      -0.043      -0.104
      2300.00    5.00    0.00    0.00       -35.762     -35.914     -35.770       0.152       0.008      -0.144
      2300.00    5.50    0.00    0.00       -35.925     -35.954     -35.711       0.029      -0.215      -0.243
      2350.00    2.50    0.00    0.00       -35.790     -35.837     -35.800       0.047       0.010      -0.037
      2350.00    3.00    0.00    0.00       -35.862     -35.914     -35.863       0.052       0.001      -0.051
      2350.00    3.50    0.00    0.00       -35.844     -35.924     -35.872       0.080       0.028      -0.052
      2350.00    4.00    0.00    0.00       -35.856     -35.952     -35.879       0.096       0.023      -0.073
      2350.00    4.50    0.00    0.00       -35.839     -35.970     -35.875       0.131       0.036      -0.095
      2350.00    5.00    0.00    0.00       -35.889     -36.024     -35.856       0.135      -0.033      -0.168
      2400.00    2.50    0.00    0.00       -35.953     -35.959     -35.885       0.006      -0.068      -0.074
      2400.00    3.00    0.00    0.00       -35.923     -35.962     -35.902       0.039      -0.022      -0.061
      2400.00    3.50    0.00    0.00       -35.912     -35.976     -35.917       0.064       0.005      -0.059
      2400.00    4.00    0.00    0.00       -35.919     -36.004     -35.924       0.085       0.005      -0.079
      2400.00    4.50    0.00    0.00       -35.983     -36.037     -35.925       0.054      -0.058      -0.111
      2400.00    5.00    0.00    0.00       -35.934     -36.068     -35.914       0.133      -0.020      -0.154
      2400.00    5.50    0.00    0.00       -35.965     -36.113     -35.888       0.148      -0.077      -0.225
      2500.00    2.50    0.00    0.00       -36.141     -36.146     -36.023       0.005      -0.118      -0.123
      2500.00    3.00    0.00    0.00       -36.099     -36.126     -36.039       0.027      -0.061      -0.088
      2500.00    3.50    0.00    0.00       -36.083     -36.136     -36.052       0.053      -0.031      -0.084
      2500.00    4.00    0.00    0.00       -36.080     -36.156     -36.059       0.075      -0.021      -0.097
      2500.00    4.50    0.00    0.00       -36.084     -36.179     -36.059       0.095      -0.025      -0.120
      2500.00    5.00    0.00    0.00       -36.101     -36.217     -36.059       0.116      -0.042      -0.159
