 # M = 0.35 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
  80  6.97900125   0.692  -1.06851   3.53610   6.52579   0.72951   0.00000   0.000E+00   0.000E+00   1.000E+00
  81  6.98588997   0.692  -1.07434   3.53611   6.52862   0.73812   0.00000   0.000E+00   0.000E+00   1.000E+00
  82  6.99267113   0.692  -1.08016   3.53611   6.53146   0.74673   0.00000   0.000E+00   0.000E+00   1.000E+00
  83  6.99934804   0.692  -1.08577   3.53611   6.53419   0.75502   0.00000   0.000E+00   0.000E+00   1.000E+00
  84  7.00592384   0.692  -1.09124   3.53611   6.53684   0.76310   0.00000   0.000E+00   0.000E+00   1.000E+00
  85  7.01240156   0.692  -1.09671   3.53611   6.53950   0.77118   0.00000   0.000E+00   0.000E+00   1.000E+00
  86  7.01878409   0.692  -1.10212   3.53611   6.54212   0.77917   0.00000   0.000E+00   0.000E+00   1.000E+00
  87  7.02507416   0.692  -1.10725   3.53611   6.54461   0.78674   0.00000   0.000E+00   0.000E+00   1.000E+00
  88  7.03127444   0.692  -1.11237   3.53611   6.54711   0.79431   0.00000   0.000E+00   0.000E+00   1.000E+00
  89  7.03738744   0.692  -1.11750   3.53611   6.54960   0.80189   0.00000   0.000E+00   0.000E+00   1.000E+00
  90  7.04341559   0.692  -1.12246   3.53611   6.55201   0.80921   0.00000   0.000E+00   0.000E+00   1.000E+00
  91  7.04936121   0.692  -1.12727   3.53611   6.55434   0.81631   0.00000   0.000E+00   0.000E+00   1.000E+00
  92  7.05522653   0.692  -1.13208   3.53610   6.55668   0.82341   0.00000   0.000E+00   0.000E+00   1.000E+00
  93  7.06101369   0.692  -1.13689   3.53610   6.55901   0.83050   0.00000   0.000E+00   0.000E+00   1.000E+00
  94  7.06672475   0.692  -1.14152   3.53610   6.56125   0.83732   0.00000   0.000E+00   0.000E+00   1.000E+00
  95  7.07236168   0.692  -1.14603   3.53610   6.56344   0.84397   0.00000   0.000E+00   0.000E+00   1.000E+00
  96  7.07792639   0.692  -1.15054   3.53609   6.56563   0.85062   0.00000   0.000E+00   0.000E+00   1.000E+00
  97  7.08342069   0.692  -1.15505   3.53609   6.56781   0.85727   0.00000   0.000E+00   0.000E+00   1.000E+00
  98  7.08884635   0.692  -1.15942   3.53609   6.56994   0.86373   0.00000   0.000E+00   0.000E+00   1.000E+00
  99  7.09420506   0.692  -1.16366   3.53609   6.57198   0.86996   0.00000   0.000E+00   0.000E+00   1.000E+00
 100  7.09949846   0.692  -1.16789   3.53608   6.57403   0.87620   0.00000   0.000E+00   0.000E+00   1.000E+00
 101  7.10472812   0.692  -1.17212   3.53608   6.57608   0.88243   0.00000   0.000E+00   0.000E+00   1.000E+00
 102  7.10989555   0.692  -1.17634   3.53608   6.57812   0.88865   0.00000   0.000E+00   0.000E+00   1.000E+00
 103  7.11500222   0.692  -1.18031   3.53608   6.58004   0.89449   0.00000   0.000E+00   0.000E+00   1.000E+00
 104  7.12004953   0.692  -1.18428   3.53607   6.58196   0.90034   0.00000   0.000E+00   0.000E+00   1.000E+00
 105  7.12503887   0.692  -1.18825   3.53607   6.58387   0.90618   0.00000   0.000E+00   0.000E+00   1.000E+00
 106  7.12997153   0.692  -1.19222   3.53606   6.58579   0.91202   0.00000   0.000E+00   0.000E+00   1.000E+00
 107  7.13484880   0.692  -1.19611   3.53606   6.58767   0.91776   0.00000   0.000E+00   0.000E+00   1.000E+00
 108  7.13967190   0.692  -1.19983   3.53605   6.58947   0.92323   0.00000   0.000E+00   0.000E+00   1.000E+00
