    8.12   4.16e-01   4.81e-01
    8.18   4.22e-01   4.87e-01
    8.24   4.28e-01   4.93e-01
    8.30   4.32e-01   5.00e-01
    8.36   4.37e-01   5.09e-01
    8.42   4.43e-01   5.18e-01
    8.48   4.50e-01   5.28e-01
    8.54   4.59e-01   5.39e-01
    8.60   4.68e-01   5.52e-01
    8.66   4.79e-01   5.65e-01
    8.73   4.92e-01   5.79e-01
    8.79   5.05e-01   5.94e-01
    8.85   5.19e-01   6.09e-01
    8.91   5.33e-01   6.20e-01
    8.97   5.56e-01   6.38e-01
    9.03   5.77e-01   6.50e-01
    9.09   5.99e-01   6.61e-01
    9.15   6.22e-01   6.72e-01
    9.21   6.46e-01   6.82e-01
    9.27   6.71e-01   6.91e-01
    9.33   6.89e-01   6.99e-01
    9.39   7.00e-01   7.07e-01
    9.45   7.06e-01   7.13e-01
    9.51   7.09e-01   7.17e-01
    9.57   7.09e-01   7.20e-01
    9.63   7.08e-01   7.22e-01
    9.69   7.03e-01   7.21e-01
    9.75   6.97e-01   7.18e-01
    9.81   6.89e-01   7.13e-01
    9.87   6.78e-01   7.06e-01
    9.94   6.66e-01   7.02e-01
   10.00   6.59e-01   6.91e-01
   10.06   6.50e-01   6.84e-01
   10.12   6.41e-01   6.78e-01
   10.18   6.31e-01   6.73e-01
   10.24   6.20e-01   6.67e-01
   10.30   6.10e-01   6.61e-01
   10.36   5.98e-01   6.55e-01
   10.42   5.87e-01   6.48e-01
   10.48   5.76e-01   6.42e-01
   10.54   5.64e-01   6.35e-01
   10.60   5.52e-01   6.28e-01
   10.66   5.41e-01   6.22e-01
   10.72   5.30e-01   6.15e-01
   10.78   5.19e-01   6.08e-01
   10.84   5.08e-01   6.02e-01
   10.90   4.98e-01   5.95e-01
   10.96   4.88e-01   5.89e-01
   11.02   4.78e-01   5.83e-01
   11.08   4.69e-01   5.77e-01
   11.14   4.61e-01   5.71e-01
   11.21   4.53e-01   5.65e-01
   11.27   4.45e-01   5.59e-01
   11.33   4.38e-01   5.54e-01
   11.39   4.32e-01   5.49e-01
   11.45   4.26e-01   5.44e-01
   11.51   4.21e-01   5.39e-01
   11.57   4.15e-01   5.34e-01
   11.63   4.09e-01   5.30e-01
   11.69   4.03e-01   5.26e-01
   11.75   3.97e-01   5.22e-01
   11.81   3.91e-01   5.18e-01
   11.87   3.84e-01   5.14e-01
   11.93   3.77e-01   5.11e-01
   11.99   3.70e-01   5.08e-01
   12.05   3.65e-01   5.05e-01
   12.11   3.59e-01   5.02e-01
   12.17   3.53e-01   4.99e-01
   12.23   3.47e-01   4.97e-01
   12.29   3.42e-01   4.94e-01
